Sentence #,Word,Tag
Sentence: 1,diversibit,Other
,kit,Other
Sentence: 2,iv,Other
,2g,Other
,gfci,Other
,plt,Other
Sentence: 3,30,Other
,1/2,Drive
,6pnt,Point
,ds,Socket Depth
Sentence: 4,1500rpm,Other
,mtr,Type
Sentence: 5,30hp,3 Phase Drive Horsepower Rating
,230v,Other
,n1,Other
,drv,Type
Sentence: 6,deluxe,Other
,cord,Type
,grip,Type
Sentence: 7,cat6,Category
,ptchcrd,Assembly Type
Sentence: 8,7.5hp,Other
,drv,Type
Sentence: 9,0.25-0.4a,Other
,ctrlr,Type
Sentence: 10,1hole,Stud Holes
,lug,Other
Sentence: 11,l5-20p,NEMA
,to,NEMA
,5-20r,NEMA
,adpt,Type
Sentence: 12,stl,Material
,utility,Other
,enc,Type
Sentence: 13,comb,Other
,starter,Other
Sentence: 14,4sq,Type
,box,Type
Sentence: 15,3000rpm,Speed Rating
,mtr,Type
Sentence: 16,4sq,Other
,3/4d,Other
,plas,Other
,ring,Other
Sentence: 17,145a230v,Other
,sftstr,Other
Sentence: 18,25a,Other
,n3479,Other
,man,Other
,switch,Other
Sentence: 19,enc,Other
,mtg,Other
,feet,Other
Sentence: 20,4p,Number of Poles
,1000a,Amps
,cb,Voltage Maximum
Sentence: 21,mounting,Type
,nut,Type
,kit,Other
Sentence: 22,32v,Voltage
,wht,Other
,ill,Type
,pb,Type
Sentence: 23,3000rpm,Speed Rating
,mtr,Other
Sentence: 24,30.5mm,Size
,ssw,Type
Sentence: 25,metal,Other
,indicator,Type
,lt,Type
Sentence: 26,600v,Voltage
,rk5,Other
,td,Other
,fuse,Other
Sentence: 27,2awg,Other
,sleeve,Other
Sentence: 28,update,Other
,svc,Type
Sentence: 29,2000rpm,Speed Rating
,mtr,Type
Sentence: 30,green,Material
,hex,Other
,grounding,Type
,screw,Type
Sentence: 31,10in,Length
,adj,Type
,wrench,Type
Sentence: 32,3-prt,Other
,blk,Color
,fceplt,Other
Sentence: 33,pdu,Type
Sentence: 34,1-1/2,Drive Size
,1/4dr,Drive Size
,extension,Type
Sentence: 35,2p,Other
,240v,Coil Voltage
,str,Type
Sentence: 36,9-1/2,Other
,7.5,Other
,pouch,Other
Sentence: 37,plg,Other
,in,Other
,sckt,Type
,kt,Type
Sentence: 38,radio,Other
,frequency,Other
,choke,Other
Sentence: 39,234va,Other
,tfm,Other
Sentence: 40,power,Type
,cbl,Other
Sentence: 41,3/4,Trade Size
,flex,Type
,scrw,Installation
,cpl,Type
,dc,Material
Sentence: 42,3p,Other
,iec,Other
,cnctr,Type
Sentence: 43,ss,Other
,drop-in,Other
,anchor,Type
Sentence: 44,hh,Other
,lag,Type
,blt,Type
,100jar,Other
Sentence: 45,pdu,Other
Sentence: 46,6v,Other
,blu,Color
,led,Other
,lmp,Type
Sentence: 47,building,Cable Type
,wire,Cable Type
Sentence: 48,3/4,Other
,15,Length
,flex,Type
,cplg,Other
Sentence: 49,60hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 50,4p,Number of Poles
,250a,Other
,adj,Other
,mag,Type
,cb,Voltage Maximum
Sentence: 51,sgl,Type
,rcp,Type
,ugrd,Other
,15a250v,Other
,br,Color
Sentence: 52,4awg,Other
,fm,Connector Type
,conn,Connector Type
Sentence: 53,24awg,Other
,strd,Other
,hkup,Type
,wr,Other
Sentence: 54,metric,Other
,nut,Type
,keeper,Type
,m,Other
,acc,Other
Sentence: 55,3ps,Other
,sh,Other
,mntn,Other
,sel,Type
,sw,Type
Sentence: 56,tap,Connector Type
,connector,Conductor Type
Sentence: 57,250a,Amps
,cb,Voltage Maximum
,assembly,Other
Sentence: 58,120ka,Other
,spdev,Type
Sentence: 59,u,Cable Type
,crimper,Type
,die,Other
Sentence: 60,ballast,Other
,body,Other
Sentence: 61,dbl,Other
,row,Other
,term,Type
,block,Type
Sentence: 62,cc,Other
,10p,Other
,mp,Type
,12ft,Other
,12/10,Other
,neo,Material
Sentence: 63,4,Width
,4.7,Width
,pb,Other
,encl,Type
Sentence: 64,22/4&24/4,Other
,tel,Other
,can,Type
,wrench,Type
Sentence: 65,2-1/2,Trade Size
,stl,Other
,sq,Other
,hd,Other
,plug,Other
Sentence: 66,27in,Size
,tp,Type
,chest,Type
Sentence: 67,hosp,Grade
,dplx,Type
,brn,Color
,rcpt,Other
,20a,Other
Sentence: 68,auxiliary,Other
,contact,Other
Sentence: 69,2p,Other
,250a,Amps
,cb,Other
,sw,Other
Sentence: 70,wirewy,Other
,pnl,Type
,adaptr,Type
Sentence: 71,3ph,Other
,225a,Other
,ld-ctr,Other
Sentence: 72,2g,Other
,fsc-box,Other
Sentence: 73,2p,Other
,300,Other
,dbl,Other
,rw,Other
,trm,Type
,blk,Other
Sentence: 74,die,Other
,set,Connector Type
Sentence: 75,1/2-1-1/4,Capacity
,z-wrench,Other
Sentence: 76,operating,Type
,current,Other
Sentence: 77,1in,Trade Size
,al,Other
,cond,Type
,seal,Type
Sentence: 78,250kva,Other
,tfm,Other
Sentence: 79,emer,Other
,spill,Other
,kt,Other
Sentence: 80,4pr,Conductor Count
,cable,Cable Type
Sentence: 81,22mm,Other
,12pt,Point
,3/8dr,Drive
,socket,Type
Sentence: 82,cb,Other
,shunt,Type
,rel,Other
Sentence: 83,3p,Other
,30a,Other
,cnctr,Other
Sentence: 84,3p,Number of Poles
,100a,Amps
,600v,Voltage Maximum
,cb,Voltage Maximum
Sentence: 85,250v,Voltage
,td,Other
,fus,Other
Sentence: 86,1/4,Size
,320#,Grade
,ao,Other
,sheet,Type
Sentence: 87,conn,Type
,2p3w20a250v,Other
Sentence: 88,cnctr,Other
,aux,Other
,cnt,Other
Sentence: 89,200hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 90,indicator,Type
,lt,Type
Sentence: 91,1-in,Trade Size
,90d,Other
,glv,Other
,clmp,Other
Sentence: 92,2p,Number of Poles
,250a,Amps
,ckt,Other
,brkr,Type
Sentence: 93,microstat,Other
,pipe,Other
,16in,Other
Sentence: 94,3p,Number of Poles
,70a,Amps
,cb,Voltage Maximum
,encl,Other
Sentence: 95,servo,Type
,motor,Type
Sentence: 96,3p,Number of Poles
,175a,Amps
,600v,Voltage Maximum
,cb,Voltage Maximum
Sentence: 97,sloped,Other
,top,Other
,handle,Other
,kit,Other
Sentence: 98,3p,Number of Poles
,60a,Amps
,cb,Voltage Maximum
Sentence: 99,fs,Other
,nema,Other
,sz,Coil Voltage
,3,Phase
,encl,Other
Sentence: 100,15.25in,Length
,nyl,Other
,cable,Type
,tie,Type
Sentence: 101,blank,Other
,divided,Other
,end,Other
Sentence: 102,20-ga,Other
,stl,Material
,instm,Depth
,case,Other
Sentence: 103,surge,Type
,suppress,Type
,kit,Type
Sentence: 104,n12,Other
,comb,Other
,starter,Other
Sentence: 105,25hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 106,2hp,3 Phase Drive Horsepower Rating
,480v,Other
,drv,Type
Sentence: 107,208v,Coil Voltage
,c-str,Other
Sentence: 108,3/4,Other
,fem,Other
,cord,Type
,conn,Type
Sentence: 109,4500rpm,Speed Rating
,mtr,Type
Sentence: 110,600v,Other
,rcp,Number of Poles
Sentence: 111,power,Type
,cable,Other
Sentence: 112,3p,Number of Poles
,25a,Other
,cb,Voltage Maximum
Sentence: 113,6-32,Other
,1-1/4,Length
,m/s,Other
Sentence: 114,multi-pole,Other
,relay,Type
Sentence: 115,30mm,Size
,120v,Voltage
,pb,Type
Sentence: 116,coupling,Other
Sentence: 117,input,Other
,choke,Other
Sentence: 118,end,Type
,cap,Type
Sentence: 119,grf,Other
,blank,Other
,cover,Type
,surf,Other
Sentence: 120,21pc,Other
,3/8,Drive
,6pt,Point
,skt,Type
,set,Type
Sentence: 121,amb,Color
,indicator,Type
,lt,Other
Sentence: 122,hmi,Application
,software,Other
Sentence: 123,3p,Number of Poles
,250a,Amps
,cb,Voltage Maximum
Sentence: 124,packaged,Other
,picquic,Other
,stubby,Other
Sentence: 125,3000rpm,Speed Rating
,mtr,Type
Sentence: 126,16mm,Drive Size
,swvl,Other
,rtcht,Type
,wrn,Type
Sentence: 127,preset,Other
,dimmer,Type
